Element,METALLOGENIC PROVINCE,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,METALLOGENESIS,LATDD,LONDD
Gold,,KOLAR,KARNATAKA,57 L,12 54-57 N,78 15-18 E,Gold,"METAVOLCANICS,CHAMPION GNEISS",STRATABOUND-REMOBILISED,KOLAR Gp.,KOLAR BELT,,
Gold,,KUDITHAINAPALLE,KARNATAKA,57 L,12 49N,78 15E,Gold,QUARTZ REEF IN BASIC AND ACID VOLCANICS,SHEAR CONTROLLED,EASTERN GREENSTONE,KOLAR BELT,,
Gold,,MAHARAJAGADAI,TAMILNADU,57 L,12 38-43 N,78 16-18 E,Gold,"SCHISTS,METABASICS,CHAMPION GNEISS",STRATABOUND-REMOBILISED,KOLAR Gp.,KOLAR BELT,,
Gold,,MALLAPAKONDA,TAMILNADU,57 L,12 44 30 N,78 13 30 E,Gold,"BFQ,AMPHIBOLITE,CHAMPION GNEISS",BIF HOSTED-CONCORDANT,KOLAR Gp.,KOLAR BELT,,
Gold,,SURAPALLE,KARNATAKA,57 L,12 55E,78 17N,Gold,METAACID TUFF(CHAMPION GNEISS),CONCORDANT SILICIFIC ZONE,EASTERN GREENSTONE,KOLAR BELT,,
Gold,,GULALDIH,MADHYA PRADESH,63 L,24 16N,82 47E,Gold,"BIF,GREYWACKE,ARGILLITE",STRATIFORM(BIF-SULPHIDE),AGORI Fm..,MAHAKOSHAL BELT,,
Gold,,GURHARPAHAR,MADHYA PRADESH,63 L,24 21N,82 45E,Gold,"TUFF,ARGILLITE",EPIGENETIC-VEIN TYPE,"AGORI,PARSOI Fm..",MAHAKOSHAL BELT,,
Gold,,IMALIYA,MADHYA PRADESH,64 A,23 37N,80 15E,Gold,SHEAR ZONE IN DOLOMITE,SHEAR CONTROLLED,SLEEMABAD Fm.,MAHAKOSHAL BELT,,
Gold,,KEMPINKOTE,KARNATAKA,57 D,12 54 N,76 31 E,Gold,AURIFEROUS QTZ.LODE IN METAULTRAMAFITES,REMOBILISED QUARTZ VEINS-STRATABOUND,SARGUR Gp.,NUGGIHALLI BELT,,
Gold,,KOTAPALLE,ANDHRA PRADESH,57 F,14 19-14 21N,77 30-77 31E,Gold,METASEDIMENTS AND METAVOLCANICS,STRATABOUND-REMOBILISED,DHARWAR Sgp.,RAMAGIRI BELT,,
Gold,,YEPPAMANA,ANDHRA PRADESH,57 F,14 18-19 N,77 30-31 E,Gold,"PHYLLITE,CHLORITE SCHIST(GREENSTONE)",STRATABOUND-CONCORDANT,KOLAR GREENSONE,RAMAGIRI BELT,,
Gold,,YERAPPA-GENTALLAPPA,ANDHRA PRADESH,57 F,14 18N,77 30E,Gold,METAVOLCANICS-METASEDIMENTS,STRATABOUND-DISCORDANT,DHARWAR Sgp.,RAMAGIRI BELT,,
Gold,,PENAKACHERLA-KUDERU,ANDHRA PRADESH,57 F,14 44-14 52N,77 25-77 27E,Gold,"METABASALT,BFQ",QTZ-ANKERITE VEIN,EASTERN GREENSTONE,RAMAGIRI-PENAKACHERLA-HUNGUD BELT,,
Gold,,PENUKONDA,ANDHRA PRADESH,57 F,14 06N,77 32E,Gold,"METABASALT,BIF,SERICITE SCHIST",VEINS WITHIN SHEAR ZONES,EASTERN GREENSTONE,RAMAGIRI-PENAKACHERLA-HUNGUD BELT,,
Gold,,CHENNABHAVI,ANDHRA PRADESH,57 F,14 19-14 20N,77 30-77 31E,Gold,METABASITE,AURIFEROUS VEIN IN SHEARS,EASTERN GREENSTONE,RAMAGIRI-PENAKACHERLA-HUNGUD BELT,,
Gold,,KOTTAPALLE,ANDHRA PRADESH,57 F,14 20N,77 29E,Gold,"METABASITE,BIF,ACID TUFF",GOLD BEARING QUART VEIN,EASTERN GREENSTONE,RAMGIRI-PUNAKACHERLA-HUNGUD BELT,,
Gold,,BHADRAMPALLE,ANDHRA PRADESH,57 F,14 53-14 54N,77 24E,Gold,"METABASITE,METAANDESITE,B.H.CHERT",QUARTZ VEIN WITH SULPHIDE,EASTERN GREENSTONE,RAMGIRI-PUNAKACHERLA-HUNGUD BELT,,
Gold,,RAMAPURAM,ANDHRA PRADESH,57 F,14 53N,77 22E,Gold,"METABASALT,CHLORITE-ACTINOLITE SCHIST",QUARTZ-SULPHIDE VEINS,EASTERN GREENSTONE,RAMGIRI-PUNAKACHERLA-HUNGUD BELT,,
Gold,,CHINMULGUND,KARNATAKA,48 N,14 35N,75 24E,Gold,"METASEDIMENTS,BIF",CONCORDANT-BIF HOSTED,CHITRADURGA BELT Gp.,SHIMOGA BELT,,
Gold,,HONNALI,KARNATAKA,48 N,14 14 N,75 39 E,Gold,QUARTZ-CARBONATE VEINS TRAVERSING BIF,STRATABOUND-DISCORDANT,CHITRADURGA BELT,SHIMOGA BELT,,
Gold,,LAWA,JHARKHAND,73 I,23 01N,86 05E,Gold,"METASEDIMENTS,METABASICS",STRATABOUND,SINGBHUM Gp.,SINGBHUM  BELT,,
Gold,,MYSERA,JHARKHAND,73 I,23 03N,86 01E,Gold,METASEDIMENTS-METAVOLCANICS,STRATABOUND,SINGBHUM Gp.,SINGBHUM  BELT,,
Gold,,PAHARDIHA,JHARKHAND,73 F,22 30N,85 16E,Gold,"CHLORITE SCHIST,QUARTZITE",VEIN-DISCORDANT,SINGBHUM Gp.,SINGBHUM BELT,,
Gold,,SONAKHAN,CHATTISGARH,64 K,21 24N,82 38E,Gold,MAFIC AND ACID VOLCANICS,SHEAR CONTROLLED,SONAKHAN Gp.,SONAKHAN BELT,,
Gold,,PHOENIX,KERALA,58 A,11 28N,76 24E,Gold,QTZ.VEIN IN AMPHIBOLITE-GRANULITE,EPIGENETIC-DISCORDANT,GRANULITE TERRAIN,WYNAD BELT,,
Gold,,SOLOMINE,KERALA,58 A,11 29N,76 19E,Gold,QTZ.VEIN WITHIN MAG.QTZT-HB.GRANULITE,REMOBILISED-CONCORDANT,GRANULITE TERRAIN,WYNAD BELT,,
Gold,,ALPHA,KERALA,58 A,11 28N,76 20E,Gold,SHEARED HORNBLENDE GRANULITE-AMPHIBOLITE,SYNGENETIC-REMOBILISED,GRANULITE TERRAIN,WYNAD BELT,,
Iron,,ATTIGUNDI-GALLIKERA,KARNATAKA,48 O,13 25 N,75 45 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,BABABUDAN Sgp.,BABABUDAN RANGE,13.4166666667,75.75
Iron,,KEMMANAGUNDI,KARNATAKA,48 O,13 32-33 N,75 45 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,DHARWAR Sgp.,BABABUDAN RANGE,13.5333333333,75.75
Iron,,BAILADILA,CHATTISGARH,65 F,18 40-50 N,81 11-14 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,BAILADILA Gp.,BAILADILA BELT,18.6666666667,81.1833333333
Iron,,OBULAPURAM,KARNATAKA,57 A,15 04 15 N,76 50 20 E,Iron,"SHALE,PHYLLITE,BHQ",BEDDED,EASTERN GREENSTONE,BELLARY (SANDUR SCHIST BELT),15.0708333333,76.8388888889
Iron,,BADAMGARH,ORISSA,73 G,21 48N,85 16E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-BADAMPAHAR BELT,21.8,85.2666666667
Iron,,BALIA-KHEJURDARI,ORISSA,73 G,21 50N,85 16E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-BADAMPAHAR BELT,21.8333333333,85.2666666667
Iron,,FULIHARI-KURMITAR-SILJORA,ORISSA,73 G,21 45-21 46N,85 09-85 11E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-BADAMPAHAR BELT,21.75,85.15
Iron,,KALTA,ORISSA,73 G,21 51N,85 08E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-BADAMPAHAR BELT,21.85,85.1333333333
Iron,,MANKAMACHA,ORISSA,73 G,21 48N,85 18E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-BADAMPAHAR BELT,21.8,85.3
Iron,,KHANDBAND,ORISSA,73 G,21 57N,85 24E,Iron,"BHQ,SHALE",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-KEONJHAR RANGE BELT,21.95,85.4
Iron,,NAOGOWN,ORISSA,73 G,22 00N,85 07E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-KEONJHAR RANGE BELT,22.0,85.1166666667
Iron,,BARAIBURU,JHARKHAND,73 F,22 10N,85 10E,Iron,"BFQ,SHALE",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-NOAMUNDI-JAMDA BELT,22.1666666667,85.1666666667
Iron,,KARAMPADA,ORISSA,73 G,22 00N,85 10E,Iron,"BHQ,SHALE",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-NOAMUNDI-JAMDA BELT,22.0,85.1666666667
Iron,,AJITBURU,JHARKHAND,73 F,22 10-22 14N,85 20-85 25E,Iron,"BHQ,SHALE-INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-NOAMUNDI-JAMDA PROVINCE,22.2166666667,85.3833333333
Iron,,BARAJAMDA,ORISSA,73 F,22 05N,85 20E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA FLOW",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI),BONAI-NOAMUNDI-JAMDA PROVINCE,22.0833333333,85.3333333333
Iron,,GHATKURI,ORISSA,73 F,22 15N,85 25E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-NOAMUNDI-JAMDA PROVINCE,22.25,85.4166666667
Iron,,ITAR-BALIJODI,ORISSA,73 F,22 20N,85 35E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA FLOWS",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI),BONAI-NOAMUNDI-JAMDA PROVINCE,22.3333333333,85.5833333333
Iron,,JODA,ORISSA,73 F,22 01N,85 26E,Iron,"BHJ,SHALE",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,BONAI-NOAMUNDI-JAMDA PROVINCE,22.0166666667,85.4333333333
Iron,,KANTORIA,JHARKHAND,73 F,22 10N,85 25E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA FLOWS",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI),BONAI-NOAMUNDI-JAMDA PROVINCE,22.1666666667,85.4166666667
Iron,,KUMITRA,JHARKHAND,73 F,22 10N,85 30E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA FLOWS",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI),BONAI-NOAMUNDI-JAMDA PROVINCE,22.1666666667,85.5
Iron,,MERALGORA,JHARKHAND,73 F,22 05-22 10N,85 30-85 35E,Iron,"BHQ,SHALE,BHQ",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI),BONAI-NOAMUNDI-JAMDA PROVINCE,22.1166666667,85.55
Iron,,NOAMUNDI,ORISSA,73 F,22 09N,85 29E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA FLOWS",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI),BONAI-NOAMUNDI-JAMDA PROVINCE,22.15,85.4833333333
Iron,,THAKURANI,ORISSA,73 F,22 08-22 09N,85 30E,Iron,"BHQ,SHALE INTERLAYERED WITH LAVA FLOWS",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI),BONAI-NOAMUNDI-JAMDA PROVINCE,22.1358333333,85.5
Iron,,NOTABURU,JHARKHAND,73 F,22 18N,85 22E,Iron,"SHALE,BHQ",BEDDED-SEDIMENTARY,BONAI Gp.,CHIRIA-MANOHARPUKUR SECTOR,22.3,85.3666666667
Iron,,CHIRIA,JHARKHAND,73 F,22 18N,85 17E,Iron,"BHJ,QTZT,QTZ.SCHIST,PHYLLITE",BEDDED-SEDIMENTARY,IRON ORE GROUP,CHIRIA-MANOHARPUKUR SECTOR,22.3,85.2833333333
Iron,,NOTABURU,JHARKHAND,73 F,22 18N,85 22E,Iron,"BHJ,QTZT,PHYLLITE",STRATIFORM-SEDIMENTARY,IRON ORE GROUP,CHIRIA-MANOHARPUKUR SECTOR,22.3,85.3666666667
Iron,,BELLENAHALLI,KARNATAKA,57 C,13 24 N,76 39 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,CHITRADURGA (DHARWAR),CHITRADURGA BELT,13.4,76.65
Iron,,BHIMA-SAMUDRA,KARNATAKA,57 B,14 13 N,76 14 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,CHITRADURGA (DHARWAR),CHITRADURGA BELT,14.2166666667,76.2333333333
Iron,,CHIKANYAKANAHALLI,KARNATAKA,57 C,13 24 N,76 37 E,Iron,"BHQ,METAVOLCANICS,METABASICS",VOLCANOSEDIMENTARY-BEDDED,CHITRADURGA (DHARWAR),CHITRADURGA BELT,13.4,76.6166666667
Iron,,KADALAGUDDA,KARNATAKA,57 B,14 10-11 N,76 12-13 30E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,CHITRADURGA (DHARWAR),CHITRADURGA BELT,14.1666666667,76.2083333333
Iron,,MEDIKERIPURA,KARNATAKA,57 B,14 05 N,76 35 E,Iron,"BHQ,PHYLLITE,METAVLCANICS",VOLCANOSEDIMENTARY-BEDDED,CHITRADURGA (DHARWAR),CHITRADURGA BELT,14.0833333333,76.5833333333
Iron,,DALLI-RAJHARA,CHATTISGARH,64 H,20 33-35 N,81 0 45-07 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,BAILADILA Gp.,DALLI-RAJHARA BELT,20.5597222222,81.0125
Iron,,MAHAMAYA-KAUCHAR,CHATTISGARH,64 D,20 28-29 N,80 59-59 30E,Iron,"METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,BAILADILA Gp.,DALLI-RAJHARA BELT,20.4747222222,80.9916666667
Iron,,BHITARAMDA,ORISSA,73 J,22 08N,86 12 30E,Iron,"BHQ,PHYLLITE WITH VOLCANICS",BEDDED-VOLCANOSEDIMENTARY,GARUMAHISANI Gp.,GARUMAHISANI PROVINCE,22.1333333333,86.2083333333
Iron,,BHIYABASA,ORISSA,73 J,22 07N,86 11E,Iron,"BHQ,PHYLLITE WITH VOLCANICS",BEDDED-VOLCANOSEDIMENTARY,GARUMAHISANI Gp.,GARUMAHISANI PROVINCE,22.1166666667,86.1833333333
Iron,,DUBLABERA,ORISSA,73 J,22 27N,86 15E,Iron,METAVOLCANICS-METASEDIMENTS,-,IRON ORE SUPER GROUP,GARUMAHISANI PROVINCE,22.45,86.25
Iron,,PURNAPANI,ORISSA,73 J,22 08N,86 12E,Iron,"BHQ,PHYLLITE WITH VOLCANICS",BEDDED-VOLCANOSEDIMENTARY,GARUMAHISANI Gp.,GARUMAHISANI PROVINCE,22.1333333333,86.2
Iron,,SULAIPET,ORISSA,73 J,22 08N,86 12E,Iron,"BHQ,PHYLLITE WITH VOLCANICS",BEDDED-VOLCANOSEDIMENTARY,GARUMAHISANI Gp.,GARUMAHISANI PROVINCE,22.1333333333,86.2
Iron,,BETJHARAN,ORISSA,73 J,22 10N,86 25E,Iron,GABBRO-ANORTHOSITE,CONCORDANT,-,GARUMAHISANI PROVINCE (RAIRANGPUR BELT),22.1666666667,86.4166666667
Iron,,BISAI,ORISSA,73 J,22 10N,86 20E,Iron,GABBRO-ANORTHSITE,INTRUSSIVE-MAGMATIC,IRON ORE GROUP,GARUMAHISANI PROVINCE (RAIRANGPUR BELT),22.1666666667,86.3333333333
Iron,,KUMARDHUBI,ORISSA,73 J,22 15N,86 15E,Iron,GABBRO-ANORTHOSITE,CONCORDANT-MAGMATIC,-,GARUMAHISANI PROVINCE (RAIRANGPUR BELT),22.25,86.25
Iron,,RAIRANGPUR,ORISSA,73 J,22 15N,86 05E,Iron,GABBRO-ANORTHOSITE,MAGMATIC,IRON ORE GROUP,GARUMAHISANI PROVINCE (RAIRANGPUR BELT),22.25,86.0833333333
Iron,,ALAMBADI,TAMILNADU,57 L,12 07N,78 39E,Iron,BMQ,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),GRANULITE,KANJAMALLAI-ATTUR  BELT,12.1166666667,78.65
Iron,,ATTUR,TAMILNADU,58 I,11 35N,78 35E,Iron,BMQ,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),GRANULITE,KANJAMALLAI-ATTUR  BELT,11.5833333333,78.5833333333
Iron,,CHITTORI-TAINANDAMALAI,TAMILNADU,58 I,11 50N,78 30E,Iron,BMQ,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),GRANULITE,KANJAMALLAI-ATTUR  BELT,11.8333333333,78.5
Iron,,KANJAMALAI,TAMILNADU,58 I,11 39N,78 10E,Iron,BMQ IN CHARNOCKITE,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),SOUTHERN GRANULITE,KANJAMALLAI-ATTUR  BELT,11.65,78.1666666667
Iron,,VALAYAPATHI-TATTAYANGIPETTAI,TAMILNADU,58 I,11 08-11 15N,78 06-78 15E,Iron,BMQ INTERBEDDED WITH PYROXENE GNEISS,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),SOUTHERN GRANULITE,KANJAMALLAI-ATTUR  BELT,11.1708333333,78.2
Iron,,KAPPALGUDDA,KARNATAKA,48 I,15 13-16 N,74 42-44 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,DHARWAR(SHIMOGA SCH),KAPPALGUDDA (SHIMOGA SCHIST) BELT,15.2333333333,74.7166666667
Iron,,KARINAGUR,KARNATAKA,57 A,15 14 03N,76 26 17E,Iron,METASEDIMENTS-METAVOLCANICS,BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB (SANDUR SCHIST BELT),15.2341666667,76.4380555556
Iron,,MADERAHALLI,KARNATAKA,57 A,15 11-12N,76 26-29E,Iron,"METASEDIMENTS,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB (SANDUR SCHIST BELT),15.2,76.4666666667
Iron,,PAPINAYAKANAHALLI,KARNATAKA,57 A,15 13N,76 25-26E,Iron,"METASEDIMENTS,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB (SANDUR SCHIST BELT),15.2166666667,76.425
Iron,,INGILIGI,KARNATAKA,57 A,15 12 22N,76 26 30E,Iron,"PHYLLITE,SCHIST,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN  GREENSTONE,NEB RANGE (SANDUR SCHIST BELT),15.2061111111,76.4416666667
Iron,,JAISINGPUR,KARNATAKA,57 A,15 11-13N,76 26-27E,Iron,METASEDIMENT AND METAVOLCANICS,BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB RANGE(SANDUR BELT),15.1833333333,76.45
Iron,,KARADIKOLLA,KARNATAKA,57 A,15 12-13N,76 26-30E,Iron,"METASEDIMENT,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB(SANDUR SCHIST BELT),15.2166666667,76.4666666667
Iron,,SANDUR,KARNATAKA,57 A,15 12 30N,76 27 30,Iron,"METASEDIMENT,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB(SANDUR SCHIST BELT),15.2083333333,76.4583333333
Iron,,SANKALAPURAM,KARNATAKA,57 A,15 14 15N,76 25E,Iron,"METASEDIMENT,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE,NEB(SANDUR SCHIST BELT),15.2375,76.4166666667
